,gid,name,state_name,fips,a_sqkm,mms_refineries_kg,mms_metals_kg,mms_ammonia_kg,mms_biofuels_kg,mms_synfuels_kg,mms_ngas_kg,mms_ld_fcev_kg,mms_mhd_fcev_kg,mms_season_enrgy_strg_kg,tot_kg,solar_metric_tons,wind_metric_tons,solar_kg,wind_kg,total_resource_kg,total_resource_minus_total_demand_kg
0,27,Escambia,Alabama,1053,2469.01466034578,1690279.84055,0,0.0,0.0,0.0,3828539.88903017,4453189.77276725,1696453.2492727,14651468.0150393,26319930.7666594,1588299.46978,0.0,1588299469.78,0.0,1588299469.78,1561979539.01334
1,57,Russell,Alabama,1113,1676.59483874564,0.0,0,0.0,0.0,0.0,3828539.88903017,8611963.09901086,3280747.85208512,9949141.27023514,25670392.1103613,1018399.23398,0.0,1018399233.98,0.0,1018399233.98,992728841.869639
2,67,Winston,Alabama,1133,1637.08134331585,0.0,0,0.0,0.0,0.0,3828539.88903017,2676629.64087106,1019668.43612274,3414335.94373777,10939173.9097617,139219.466457,0.0,139219466.457,0.0,139219466.457,128280292.547238
3,73,Greenlee,Arizona,4011,4789.12403759281,0.0,0,0.0,0.0,0.0,9269642.98198704,1199768.83086763,457054.793386163,2586459.04868263,13512925.6549235,553289.087391,5430.885783,553289087.391,5430885.783,558719973.174,545207047.519077
4,77,Navajo,Arizona,4017,25793.3169722337,0.0,0,0.0,0.0,0.0,9269642.98198704,12974764.8539339,4942767.57069967,13930179.622557,41117355.0291776,18107295.373,29904.7547,18107295373.0,29904754.7,18137200127.7,18096082772.6708
5,94,Cleburne,Arkansas,5023,1533.91731895297,0.0,0,0.0,0.0,0.0,13133650.3628272,3143381.69595027,1197478.74308205,163810.300073017,17638321.1019326,466479.54913,604.906565,466479549.13,604906.565,467084455.695,449446134.593067
6,131,Montgomery,Arkansas,5097,2073.28914076787,0.0,0,0.0,0.0,0.0,13133650.3628272,1316017.01975584,501339.8177899,221410.966608771,15172418.1669817,55142.985913,6877.190348,55142985.913,6877190.348,62020176.261,46847758.0940183
7,144,St. Francis,Arkansas,5123,1663.86261127444,0.0,0,0.0,0.0,0.0,13133650.3628272,1929112.16011943,734899.871606512,1097248.59921966,16894910.9937728,1380853.17087,0.0,1380853170.87,0.0,1380853170.87,1363958259.87623
8,178,Marin,California,6041,1294.63711241569,0.0,0,0.0,0.0,0.0,6484883.04511003,8147476.21144036,3103800.46608278,1799595.56377348,19535755.2864067,33928.6587609,3626.687609,33928658.7609,3626687.609,37555346.3699,18019591.0834933
9,182,Modoc,California,6049,10888.2863105553,0.0,0,0.0,0.0,0.0,6484883.04511003,1089978.04884154,415229.73350496,0.0,7990090.82745653,6611918.76304,5947.087826,6611918763.04,5947087.826,6617865850.866,6609875760.03854
